id,abstraction,role_stereotype
MessageViewFragment,concrete,Interfacer
MimeMessageHelper,concrete,Service Provider
NotificationContentCreator,concrete,Service Provider
Body,interface,Service Provider
MessagingException,concrete,Information Holder
LocalStore,interface,Service Provider
ServerSettings,concrete,Information Holder
BaseAccount,interface,Information Holder
WearNotifications,concrete,Coordinator
MessageTopView,concrete,Interfacer
NegativeImapResponseException,concrete,Information Holder
FileFactory,interface,Service Provider
WebDavStore,concrete,Information Holder
AccountSetupOutgoing,concrete,Interfacer
Message,abstract,Structurer
Account,concrete,Information Holder
MessageLoaderHelper,concrete,Service Provider
MessageReference,concrete,Information Holder
UidReverseComparator,concrete,Service Provider
Part,interface,Service Provider
Account,concrete,Information Holder
Account,concrete,Information Holder
IdentityField,concrete,Information Holder
NotificationData,concrete,Structurer
Identity,concrete,Information Holder
AttachmentInfoLoader,concrete,Service Provider
NotificationController,concrete,Controller
LocalBodyPart,concrete,Information Holder
Multipart,abstract,Structurer
NewMailNotifications,concrete,Coordinator
RecipientPresenter,concrete,Coordinator
MimePartStreamParser,concrete,Service Provider
Message,abstract,Structurer
ImapResponseCallback,interface,Service Provider
MimeMessageHelper,concrete,Service Provider
MessageViewFragment,concrete,Interfacer
BaseAccount,interface,Information Holder
FetchBodyCallback,concrete,Service Provider
AttachmentContentLoader,concrete,Service Provider
LocalMessage,concrete,Information Holder
LocalFolder,concrete,Information Holder
FetchPartCallback,concrete,Coordinator
AttachmentViewInfo,concrete,Information Holder
NewMailNotifications,concrete,Coordinator
LocalMimeMessage,concrete,Information Holder
Account,concrete,Information Holder
MimeMessageHelper,concrete,Service Provider
OpenPgpApiHelper,concrete,Service Provider
Account,concrete,Information Holder
LocalMessage,concrete,Information Holder
ImapResponseCallback,interface,Service Provider
TracingPowerManager,concrete,Service Provider
NewMailNotifications,concrete,Coordinator
MessagingController,concrete,Controller
ComposeCryptoStatus,concrete,Information Holder
Identity,concrete,Information Holder
CoreReceiver,concrete,Service Provider
IdentityHeaderParser,concrete,Service Provider
MessagingException,concrete,Information Holder
AlternateRecipientAdapter,concrete,Interfacer
Attachment,concrete,Information Holder
AttachmentPresenter,concrete,Coordinator
MessagingController,concrete,Controller
MimeBodyPart,concrete,Structurer
DeferredFileBody,concrete,Service Provider
AttachmentPresenter,concrete,Coordinator
UidReverseComparator,concrete,Service Provider
MessagingException,concrete,Information Holder
NegativeSmtpReplyException,concrete,Information Holder
RecipientAdapter,concrete,Interfacer
MessageViewInfo,concrete,Information Holder
AttachmentPresenter,concrete,Coordinator
MessagingController,concrete,Controller
MessageReference,concrete,Information Holder
AttachmentPresenter,concrete,Coordinator
EditIdentity,concrete,Interfacer
RecipientLoader,concrete,Service Provider
Folder,abstract,Structurer
Storage,concrete,Structurer
Preferences,concrete,Structurer
MessagingController,concrete,Controller
NotificationController,concrete,Controller
AttachmentPresenter,concrete,Coordinator
EditIdentity,concrete,Interfacer
ParsedMessageEnvelope,concrete,Structurer
Part,interface,Service Provider
K9ListActivity,abstract,Interfacer
RecipientSelectView,concrete,Interfacer
MessagingController,concrete,Controller
MessagingController,concrete,Controller
AttachmentPresenter,concrete,Coordinator
MimePartStreamParser,concrete,Service Provider
Flag,concrete,Information Holder
MessagingController,concrete,Controller
RecipientSelectView,concrete,Interfacer
MessagingController,concrete,Controller
AttachmentPresenter,concrete,Coordinator
MessagingController,concrete,Controller
MimeMessage,concrete,Coordinator
SearchAccount,concrete,Coordinator
FetchPartCallback,concrete,Coordinator
RecipientSelectView,concrete,Interfacer
MessagingController,concrete,Controller
MessagingController,concrete,Controller
Preferences,concrete,Structurer
MessagingController,concrete,Controller
CountingOutputStream,concrete,Information Holder
Contacts,concrete,Service Provider
ProgressBodyFactory,concrete,Coordinator
MessagingController,concrete,Controller
Account,concrete,Information Holder
TracingPowerManager,concrete,Service Provider
DefaultBodyFactory,concrete,Service Provider
ActivityListener,concrete,Service Provider
